country	location_wiki	question	answer	date
Argentina	Michigan	Gatherings	f	03-24
Argentina	Michigan	Personal Mobility	b	03-24
China	Hubei	Personal Mobility	a	02-13
China	Wuhan	Domestic Ground Travel	b	01-23
China	Wuhan	Suspension of Government Services	c	01-23
Germany	Bavaria	Personal Mobility	b	03-20
Germany	Bavaria	Restaurants	c	03-20
Germany	Berlin	Entertainment Industry	c	03-14
Germany	Berlin	Gatherings	d	03-14
Germany	Berlin	Suspension of Government Services	a	03-16
Germany	Berlin	Suspension of Government Services	b	03-14
Germany	Germany	Domestic Flights	c	03-16
Germany	Germany	Domestic Ground Travel	b	03-16
Germany	Germany	Entertainment Industry	c	03-16
Germany	Germany	Personal Mobility	a	03-16
Germany	Germany	Suspension of Government Services	a	03-16
Germany	Hamburg	Entertainment Industry	c	03-15
Germany	Hamburg	Suspension of Government Services	a	03-16
Germany	Hamburg	Suspension of Government Services	b	03-15
Germany	Hesse	Entertainment Industry	c	03-18
Germany	Hesse	Restaurants	a	03-18
Germany	Hesse	Suspension of Government Services	b	03-18
Germany	Mecklenburg-vorpommern	Suspension of Government Services	a	03-14
Germany	Schleswig-holstein	Suspension of Government Services	a	03-16
India	Delhi	Entertainment Industry	c	03-24
India	Delhi	Personal Mobility	b	03-24
India	Delhi	Suspension of Government Services	c	03-24
Indonesia	Makassar	Gatherings	a	03-18
Italy	Bertonico	Domestic Ground Travel	a	02-22
Italy	Bertonico	Entertainment Industry	c	02-22
Italy	Bertonico	Gatherings	e	02-22
Italy	Bertonico	Personal Mobility	b	02-22
Italy	Bertonico	Restaurants	d	02-22
Italy	Casalpusterlengo	Domestic Ground Travel	a	02-22
Italy	Casalpusterlengo	Entertainment Industry	c	02-22
Italy	Casalpusterlengo	Gatherings	e	02-22
Italy	Casalpusterlengo	Personal Mobility	b	02-22
Italy	Casalpusterlengo	Restaurants	d	02-22
Italy	Castelgerundo	Domestic Ground Travel	a	02-22
Italy	Castelgerundo	Entertainment Industry	c	02-22
Italy	Castelgerundo	Gatherings	e	02-22
Italy	Castelgerundo	Personal Mobility	b	02-22
Italy	Castelgerundo	Restaurants	d	02-22
Italy	Castiglione_d%27Adda	Domestic Ground Travel	a	02-22
Italy	Castiglione_d%27Adda	Entertainment Industry	c	02-22
Italy	Castiglione_d%27Adda	Gatherings	e	02-22
Italy	Castiglione_d%27Adda	Personal Mobility	b	02-22
Italy	Castiglione_d%27Adda	Restaurants	d	02-22
Italy	Codogno	Domestic Ground Travel	a	02-22
Italy	Codogno	Entertainment Industry	c	02-22
Italy	Codogno	Gatherings	e	02-22
Italy	Codogno	Personal Mobility	b	02-22
Italy	Codogno	Restaurants	d	02-22
Italy	Fombio	Domestic Ground Travel	a	02-22
Italy	Fombio	Entertainment Industry	c	02-22
Italy	Fombio	Gatherings	e	02-22
Italy	Fombio	Personal Mobility	b	02-22
Italy	Fombio	Restaurants	d	02-22
Italy	Maleo,_Lombardy	Domestic Ground Travel	a	02-22
Italy	Maleo,_Lombardy	Entertainment Industry	c	02-22
Italy	Maleo,_Lombardy	Gatherings	e	02-22
Italy	Maleo,_Lombardy	Personal Mobility	b	02-22
Italy	Maleo,_Lombardy	Restaurants	d	02-22
Italy	Metropolitan_City_of_Milan	Domestic Ground Travel	a	03-08
Italy	Metropolitan_City_of_Milan	Entertainment Industry	c	03-08
Italy	Metropolitan_City_of_Milan	Gatherings	d	03-08
Italy	Metropolitan_City_of_Milan	Restaurants	a	03-08
Italy	Metropolitan_City_of_Milan	Suspension of Government Services	a	03-08
Italy	Metropolitan_City_of_Venice	Domestic Ground Travel	a	03-08
Italy	Metropolitan_City_of_Venice	Entertainment Industry	c	03-08
Italy	Metropolitan_City_of_Venice	Gatherings	d	03-08
Italy	Metropolitan_City_of_Venice	Restaurants	a	03-08
Italy	Metropolitan_City_of_Venice	Suspension of Government Services	a	03-08
Italy	Province_of_Alessandria	Domestic Ground Travel	a	03-08
Italy	Province_of_Alessandria	Entertainment Industry	c	03-08
Italy	Province_of_Alessandria	Gatherings	d	03-08
Italy	Province_of_Alessandria	Restaurants	a	03-08
Italy	Province_of_Alessandria	Suspension of Government Services	a	03-08
Italy	Province_of_Asti	Domestic Ground Travel	a	03-08
Italy	Province_of_Asti	Entertainment Industry	c	03-08
Italy	Province_of_Asti	Gatherings	d	03-08
Italy	Province_of_Asti	Restaurants	a	03-08
Italy	Province_of_Asti	Suspension of Government Services	a	03-08
Italy	Province_of_Bergamo	Domestic Ground Travel	a	03-08
Italy	Province_of_Bergamo	Entertainment Industry	c	03-08
Italy	Province_of_Bergamo	Gatherings	d	03-08
Italy	Province_of_Bergamo	Restaurants	a	03-08
Italy	Province_of_Bergamo	Suspension of Government Services	a	03-08
Italy	Province_of_Brescia	Domestic Ground Travel	a	03-08
Italy	Province_of_Brescia	Entertainment Industry	c	03-08
Italy	Province_of_Brescia	Gatherings	d	03-08
Italy	Province_of_Brescia	Restaurants	a	03-08
Italy	Province_of_Brescia	Suspension of Government Services	a	03-08
Italy	Province_of_Como	Domestic Ground Travel	a	03-08
Italy	Province_of_Como	Entertainment Industry	c	03-08
Italy	Province_of_Como	Gatherings	d	03-08
Italy	Province_of_Como	Restaurants	a	03-08
Italy	Province_of_Como	Suspension of Government Services	a	03-08
Italy	Province_of_Cremona	Domestic Ground Travel	a	03-08
Italy	Province_of_Cremona	Entertainment Industry	c	03-08
Italy	Province_of_Cremona	Gatherings	d	03-08
Italy	Province_of_Cremona	Restaurants	a	03-08
